Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
-15.99492774,975.24413,-15.99492774,1008.97587
-23.81910827,975.24413,-15.99492774,1008.97587
-23.81910827,975.24413,-15.99492774,1008.97587
-19.99492774,975.24413,-12.06970529,1008.97587
-19.99492774,975.24413,-12.06970529,1008.97587
-16.06970529,975.24413,-8.046896186,1008.97587
-16.06970529,933.85,-8.046896186,1008.97587
-12.04689619,933.85,-3.930041645,1008.97587
-12.04689619,894.53,-3.930041645,966.15
-7.930041645,894.53,0.277234354,966.15
-7.930041645,857.12685,0.277234354,925.47
-3.722765646,857.12685,4.571228231,925.47
-3.722765646,821.50293,4.571228231,886.77315
0.571228231,821.50293,8.94816007,886.77315
0.571228231,787.54028,8.94816007,849.91707
4.94816007,787.54028,13.40417695,849.91707
4.94816007,755.12094,13.40417695,814.77972
9.404176947,755.12094,17.93535632,814.77972
9.404176947,724.14661,17.93535632,781.23906
13.93535632,724.14661,22.53770948,781.23906
13.93535632,694.50916,22.53770948,749.19339
18.53770948,694.50916,27.20718508,749.19339
18.53770948,666.13978,27.20718508,718.53084
23.20718508,666.13978,31.93967266,718.53084
23.20718508,638.95,31.93967266,689.18022
27.93967266,638.95,36.73100632,689.18022
27.93967266,612.87101,36.73100632,661.05
32.73100632,612.87101,41.57696834,661.05
32.73100632,587.834,41.57696834,634.06899
37.57696834,587.834,46.47329292,634.06899
37.57696834,563.77999,46.47329292,608.166
42.47329292,563.77999,51.41566992,608.166
42.47329292,540.65,51.41566992,583.28001
47.41566992,540.65,56.39974866,583.28001
47.41566992,518.39488,56.39974866,559.35
52.39974866,518.39488,61.42114178,559.35
52.39974866,496.96548,61.42114178,536.32512
57.42114178,496.96548,66.47542902,536.32512
57.42114178,476.31265,66.47542902,514.15452
62.47542902,476.31265,71.55816121,514.15452
62.47542902,456.39707,71.55816121,492.78735
67.55816121,456.39707,76.66486413,492.78735
67.55816121,437.17942,76.66486413,472.18293
72.66486413,437.17942,81.79104244,472.18293
72.66486413,418.62038,81.79104244,452.30058
77.79104244,418.62038,86.93218367,452.30058
77.79104244,400.70029,86.93218367,433.09962
82.93218367,400.70029,92.08376218,433.09962
82.93218367,383.37,92.08376218,414.55971
88.08376218,383.37,97.24124314,414.55971
88.08376218,366.60985,97.24124314,396.63
93.24124314,366.60985,102.4000865,396.63
93.24124314,350.39035,102.4000865,379.29015
98.40008652,350.39035,107.5557511,379.29015
98.40008652,334.69184,107.5557511,362.50965
103.5557511,334.69184,112.7036985,362.50965
103.5557511,319.475,112.7036985,346.26816
108.7036985,319.475,117.8393969,346.26816
108.7036985,304.73,117.8393969,330.525
113.8393969,304.73,122.9583257,330.525
113.8393969,290.42735,122.9583257,315.27
118.9583257,290.42735,128.0559787,315.27
118.9583257,276.55722,128.0559787,300.47265
124.0559787,276.55722,133.1278685,300.47265
124.0559787,263.09995,133.1278685,286.12278
129.1278685,263.09995,138.1695305,286.12278
129.1278685,250.02605,138.1695305,272.20005
134.1695305,250.02605,143.1765265,272.20005
134.1695305,237.32569,143.1765265,258.67395
139.1765265,237.32569,148.1444491,258.67395
139.1765265,224.97921,148.1444491,245.53431
144.1444491,224.97921,153.068925,245.53431
144.1444491,212.98661,153.068925,232.76079
149.068925,212.98661,157.9456194,232.76079
149.068925,201.30857,157.9456194,220.35339
153.9456194,201.30857,162.7702393,220.35339
153.9456194,189.95492,162.7702393,208.27143
158.7702393,189.95492,167.5385379,208.27143
158.7702393,178.906,167.5385379,196.52508
163.5385379,178.906,172.2463175,196.52508
163.5385379,168.14215,172.2463175,185.094
168.2463175,168.14215,176.8894342,185.094
168.2463175,157.66337,176.8894342,173.95785
172.8894342,157.66337,181.4638006,173.95785
172.8894342,147.45,181.4638006,163.11663
177.4638006,147.45,185.96539,163.11663
177.4638006,137.49221,185.96539,152.55
181.96539,137.49221,190.3902397,152.55
181.96539,127.79,190.3902397,142.24779
186.3902397,127.79,194.7344547,142.24779
186.3902397,118.32371,194.7344547,132.21
190.7344547,118.32371,198.9942108,132.21
190.7344547,109.09334,198.9942108,122.41629
194.9942108,109.09334,203.1657583,122.41629
194.9942108,100.07923,203.1657583,112.86666
199.1657583,100.07923,207.2454249,112.86666
199.1657583,91.28138,207.2454249,103.54077
203.2454249,91.28138,211.2296196,103.54077
203.2454249,74.29514,211.2296196,94.43862
207.2296196,74.29514,215.114835,94.43862
207.2296196,74.29514,215.114835,94.43862
211.114835,74.29514,218.8976511,94.43862
