Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
-7.994927745,975.24413,-7.994927745,1008.97587
-15.81910827,975.24413,-7.994927745,1008.97587
-15.81910827,975.24413,-7.994927745,1008.97587
-11.99492774,975.24413,-4.069705285,1008.97587
-11.99492774,975.24413,-4.069705285,1008.97587
-8.069705285,975.24413,-0.046896186,1008.97587
-8.069705285,933.85,-0.046896186,1008.97587
-4.046896186,933.85,4.069958355,1008.97587
-4.046896186,894.53,4.069958355,966.15
0.069958355,894.53,8.277234354,966.15
0.069958355,857.12685,8.277234354,925.47
4.277234354,857.12685,12.57122823,925.47
4.277234354,821.50293,12.57122823,886.77315
8.571228231,821.50293,16.94816007,886.77315
8.571228231,787.54028,16.94816007,849.91707
12.94816007,787.54028,21.40417695,849.91707
12.94816007,755.12094,21.40417695,814.77972
17.40417695,755.12094,25.93535632,814.77972
17.40417695,724.14661,25.93535632,781.23906
21.93535632,724.14661,30.53770948,781.23906
21.93535632,694.50916,30.53770948,749.19339
26.53770948,694.50916,35.20718508,749.19339
26.53770948,666.13978,35.20718508,718.53084
31.20718508,666.13978,39.93967266,718.53084
31.20718508,638.95,39.93967266,689.18022
35.93967266,638.95,44.73100632,689.18022
35.93967266,612.87101,44.73100632,661.05
40.73100632,612.87101,49.57696834,661.05
40.73100632,587.834,49.57696834,634.06899
45.57696834,587.834,54.47329292,634.06899
45.57696834,563.77999,54.47329292,608.166
50.47329292,563.77999,59.41566992,608.166
50.47329292,540.65,59.41566992,583.28001
55.41566992,540.65,64.39974866,583.28001
55.41566992,518.39488,64.39974866,559.35
60.39974866,518.39488,69.42114178,559.35
60.39974866,496.96548,69.42114178,536.32512
65.42114178,496.96548,74.47542902,536.32512
65.42114178,476.31265,74.47542902,514.15452
70.47542902,476.31265,79.55816121,514.15452
70.47542902,456.39707,79.55816121,492.78735
75.55816121,456.39707,84.66486413,492.78735
75.55816121,437.17942,84.66486413,472.18293
80.66486413,437.17942,89.79104244,472.18293
80.66486413,418.62038,89.79104244,452.30058
85.79104244,418.62038,94.93218367,452.30058
85.79104244,400.70029,94.93218367,433.09962
90.93218367,400.70029,100.0837622,433.09962
90.93218367,383.37,100.0837622,414.55971
96.08376218,383.37,105.2412431,414.55971
96.08376218,366.60985,105.2412431,396.63
101.2412431,366.60985,110.4000865,396.63
101.2412431,350.39035,110.4000865,379.29015
106.4000865,350.39035,115.5557511,379.29015
106.4000865,334.69184,115.5557511,362.50965
111.5557511,334.69184,120.7036985,362.50965
111.5557511,319.475,120.7036985,346.26816
116.7036985,319.475,125.8393969,346.26816
116.7036985,304.73,125.8393969,330.525
121.8393969,304.73,130.9583257,330.525
121.8393969,290.42735,130.9583257,315.27
126.9583257,290.42735,136.0559787,315.27
126.9583257,276.55722,136.0559787,300.47265
132.0559787,276.55722,141.1278685,300.47265
132.0559787,263.09995,141.1278685,286.12278
137.1278685,263.09995,146.1695305,286.12278
137.1278685,250.02605,146.1695305,272.20005
142.1695305,250.02605,151.1765265,272.20005
142.1695305,237.32569,151.1765265,258.67395
147.1765265,237.32569,156.1444491,258.67395
147.1765265,224.97921,156.1444491,245.53431
152.1444491,224.97921,161.068925,245.53431
152.1444491,212.98661,161.068925,232.76079
157.068925,212.98661,165.9456194,232.76079
157.068925,201.30857,165.9456194,220.35339
161.9456194,201.30857,170.7702393,220.35339
161.9456194,189.95492,170.7702393,208.27143
166.7702393,189.95492,175.5385379,208.27143
166.7702393,178.906,175.5385379,196.52508
171.5385379,178.906,180.2463175,196.52508
171.5385379,168.14215,180.2463175,185.094
176.2463175,168.14215,184.8894342,185.094
176.2463175,157.66337,184.8894342,173.95785
180.8894342,157.66337,189.4638006,173.95785
180.8894342,147.45,189.4638006,163.11663
185.4638006,147.45,193.96539,163.11663
185.4638006,137.49221,193.96539,152.55
189.96539,137.49221,198.3902397,152.55
189.96539,127.79,198.3902397,142.24779
194.3902397,127.79,202.7344547,142.24779
194.3902397,118.32371,202.7344547,132.21
198.7344547,118.32371,206.9942108,132.21
198.7344547,109.09334,206.9942108,122.41629
202.9942108,109.09334,211.1657583,122.41629
202.9942108,100.07923,211.1657583,112.86666
207.1657583,100.07923,215.2454249,112.86666
207.1657583,91.28138,215.2454249,103.54077
211.2454249,91.28138,219.2296196,103.54077
211.2454249,74.29514,219.2296196,94.43862
215.2296196,74.29514,223.114835,94.43862
215.2296196,74.29514,223.114835,94.43862
219.114835,74.29514,226.8976511,94.43862
