Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
195.8472606,50.25096,195.8472606,51.98904
188.3391465,50.25096,195.8472606,51.98904
188.3391465,50.25096,195.8472606,60.09453
184.7532083,50.25096,192.3391465,60.09453
184.7532083,58.08547,192.3391465,68.38308
181.0926025,58.08547,188.7532083,68.38308
181.0926025,66.09692,188.7532083,76.86486
177.3605516,66.09692,185.0926025,76.86486
177.3605516,74.29514,185.0926025,85.55004
173.5603408,74.29514,181.3605516,85.55004
173.5603408,82.68996,181.3605516,94.43862
169.6953154,82.68996,177.5603408,94.43862
169.6953154,91.28138,177.5603408,103.54077
165.7688775,91.28138,173.6953154,103.54077
165.7688775,100.07923,173.6953154,112.86666
161.7844837,100.07923,169.7688775,112.86666
161.7844837,109.09334,169.7688775,122.41629
157.7456413,109.09334,165.7844837,122.41629
157.7456413,118.32371,165.7844837,132.21
153.6559056,118.32371,161.7456413,132.21
153.6559056,127.79,161.7456413,142.24779
149.5188767,127.79,157.6559056,142.24779
149.5188767,137.49221,157.6559056,152.55
145.3381963,137.49221,153.5188767,152.55
145.3381963,147.45,153.5188767,163.11663
141.1175447,147.45,149.3381963,163.11663
141.1175447,157.66337,149.3381963,173.95785
136.8606372,157.66337,145.1175447,173.95785
136.8606372,168.14215,145.1175447,185.094
132.571221,168.14215,140.8606372,185.094
132.571221,178.906,140.8606372,196.52508
128.253072,178.906,136.571221,196.52508
128.253072,189.95492,136.571221,208.27143
123.9099915,189.95492,132.253072,208.27143
123.9099915,201.30857,132.253072,220.35339
119.5458025,201.30857,127.9099915,220.35339
119.5458025,212.98661,127.9099915,232.76079
115.1643467,212.98661,123.5458025,232.76079
115.1643467,224.97921,123.5458025,245.53431
110.7694811,224.97921,119.1643467,245.53431
110.7694811,237.32569,119.1643467,258.67395
106.3650744,237.32569,114.7694811,258.67395
106.3650744,250.02605,114.7694811,272.20005
101.9550036,250.02605,110.3650744,272.20005
101.9550036,263.09995,110.3650744,286.12278
97.54315095,263.09995,105.9550036,286.12278
97.54315095,276.55722,105.9550036,300.47265
93.13339999,276.55722,101.5431509,300.47265
93.13339999,290.42735,101.5431509,315.27
88.72963259,290.42735,97.13339999,315.27
88.72963259,304.73,97.13339999,330.525
84.33572529,304.73,92.72963259,330.525
84.33572529,319.475,92.72963259,346.26816
79.95554595,319.475,88.33572529,346.26816
79.95554595,334.69184,88.33572529,362.50965
75.59295037,334.69184,83.95554595,362.50965
75.59295037,350.39035,83.95554595,379.29015
71.25177883,350.39035,79.59295037,379.29015
71.25177883,366.60985,79.59295037,396.63
66.9358528,366.60985,75.25177883,396.63
66.9358528,383.37,75.25177883,414.55971
62.64897148,383.37,70.9358528,414.55971
62.64897148,400.70029,70.9358528,433.09962
58.39490854,400.70029,66.64897148,433.09962
58.39490854,418.62038,66.64897148,452.30058
54.17740875,418.62038,62.39490854,452.30058
54.17740875,437.17942,62.39490854,472.18293
50.00018467,437.17942,58.17740875,472.18293
50.00018467,456.39707,58.17740875,492.78735
45.86691345,456.39707,54.00018467,492.78735
45.86691345,476.31265,54.00018467,514.15452
41.7812335,476.31265,49.86691345,514.15452
41.7812335,496.96548,49.86691345,536.32512
37.74674138,496.96548,45.7812335,536.32512
37.74674138,518.39488,45.7812335,559.35
33.76698856,518.39488,41.74674138,559.35
33.76698856,540.65,41.74674138,583.28001
29.84547835,540.65,37.76698856,583.28001
29.84547835,563.77999,37.76698856,608.166
25.98566276,563.77999,33.84547835,608.166
25.98566276,587.834,33.84547835,634.06899
22.19093952,587.834,29.98566276,634.06899
22.19093952,612.87101,29.98566276,661.05
18.46464904,612.87101,26.19093952,661.05
18.46464904,638.95,26.19093952,689.18022
14.8100715,638.95,22.46464904,689.18022
14.8100715,666.13978,22.46464904,718.53084
11.23042395,666.13978,18.8100715,718.53084
11.23042395,694.50916,18.8100715,749.19339
7.728857489,694.50916,15.23042395,749.19339
7.728857489,724.14661,15.23042395,781.23906
4.308454466,724.14661,11.72885749,781.23906
4.308454466,755.12094,11.72885749,814.77972
0.972225795,755.12094,8.308454466,814.77972
0.972225795,787.54028,8.308454466,849.91707
-2.276891708,787.54028,4.972225795,849.91707
-2.276891708,821.50293,4.972225795,886.77315
-5.436037911,821.50293,1.723108292,886.77315
-5.436037911,857.12685,1.723108292,925.47
-8.502431883,857.12685,-1.436037911,925.47
-8.502431883,894.53,-1.436037911,966.15
-11.47337434,894.53,-4.502431883,966.15
-11.47337434,933.85,-4.502431883,1008.97587
-14.34625002,933.85,-7.473374337,1008.97587
-14.34625002,975.24413,-7.473374337,1008.97587
-17.11852998,975.24413,-10.34625002,1008.97587
-17.11852998,975.24413,-10.34625002,1008.97587
-19.78777385,975.24413,-13.11852998,1008.97587
-19.78777385,975.24413,-13.11852998,1008.97587
