Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
215.9372606,50.25096,215.9372606,51.98904
208.4291465,50.25096,215.9372606,51.98904
208.4291465,50.25096,215.9372606,60.09453
204.8432083,50.25096,212.4291465,60.09453
204.8432083,58.08547,212.4291465,68.38308
201.1826025,58.08547,208.8432083,68.38308
201.1826025,66.09692,208.8432083,76.86486
197.4505516,66.09692,205.1826025,76.86486
197.4505516,74.29514,205.1826025,85.55004
193.6503408,74.29514,201.4505516,85.55004
193.6503408,82.68996,201.4505516,94.43862
189.7853154,82.68996,197.6503408,94.43862
189.7853154,91.28138,197.6503408,103.54077
185.8588775,91.28138,193.7853154,103.54077
185.8588775,100.07923,193.7853154,112.86666
181.8744837,100.07923,189.8588775,112.86666
181.8744837,109.09334,189.8588775,122.41629
177.8356413,109.09334,185.8744837,122.41629
177.8356413,118.32371,185.8744837,132.21
173.7459056,118.32371,181.8356413,132.21
173.7459056,127.79,181.8356413,142.24779
169.6088767,127.79,177.7459056,142.24779
169.6088767,137.49221,177.7459056,152.55
165.4281963,137.49221,173.6088767,152.55
165.4281963,147.45,173.6088767,163.11663
161.2075447,147.45,169.4281963,163.11663
161.2075447,157.66337,169.4281963,173.95785
156.9506372,157.66337,165.2075447,173.95785
156.9506372,168.14215,165.2075447,185.094
152.661221,168.14215,160.9506372,185.094
152.661221,178.906,160.9506372,196.52508
148.343072,178.906,156.661221,196.52508
148.343072,189.95492,156.661221,208.27143
143.9999915,189.95492,152.343072,208.27143
143.9999915,201.30857,152.343072,220.35339
139.6358025,201.30857,147.9999915,220.35339
139.6358025,212.98661,147.9999915,232.76079
135.2543467,212.98661,143.6358025,232.76079
135.2543467,224.97921,143.6358025,245.53431
130.8594811,224.97921,139.2543467,245.53431
130.8594811,237.32569,139.2543467,258.67395
126.4550744,237.32569,134.8594811,258.67395
126.4550744,250.02605,134.8594811,272.20005
122.0450036,250.02605,130.4550744,272.20005
122.0450036,263.09995,130.4550744,286.12278
117.6331509,263.09995,126.0450036,286.12278
117.6331509,276.55722,126.0450036,300.47265
113.2234,276.55722,121.6331509,300.47265
113.2234,290.42735,121.6331509,315.27
108.8196326,290.42735,117.2234,315.27
108.8196326,304.73,117.2234,330.525
104.4257253,304.73,112.8196326,330.525
104.4257253,319.475,112.8196326,346.26816
100.045546,319.475,108.4257253,346.26816
100.045546,334.69184,108.4257253,362.50965
95.68295037,334.69184,104.045546,362.50965
95.68295037,350.39035,104.045546,379.29015
91.34177883,350.39035,99.68295037,379.29015
91.34177883,366.60985,99.68295037,396.63
87.0258528,366.60985,95.34177883,396.63
87.0258528,383.37,95.34177883,414.55971
82.73897148,383.37,91.0258528,414.55971
82.73897148,400.70029,91.0258528,433.09962
78.48490854,400.70029,86.73897148,433.09962
78.48490854,418.62038,86.73897148,452.30058
74.26740875,418.62038,82.48490854,452.30058
74.26740875,437.17942,82.48490854,472.18293
70.09018467,437.17942,78.26740875,472.18293
70.09018467,456.39707,78.26740875,492.78735
65.95691345,456.39707,74.09018467,492.78735
65.95691345,476.31265,74.09018467,514.15452
61.8712335,476.31265,69.95691345,514.15452
61.8712335,496.96548,69.95691345,536.32512
57.83674138,496.96548,65.8712335,536.32512
57.83674138,518.39488,65.8712335,559.35
53.85698856,518.39488,61.83674138,559.35
53.85698856,540.65,61.83674138,583.28001
49.93547835,540.65,57.85698856,583.28001
49.93547835,563.77999,57.85698856,608.166
46.07566276,563.77999,53.93547835,608.166
46.07566276,587.834,53.93547835,634.06899
42.28093952,587.834,50.07566276,634.06899
42.28093952,612.87101,50.07566276,661.05
38.55464904,612.87101,46.28093952,661.05
38.55464904,638.95,46.28093952,689.18022
34.9000715,638.95,42.55464904,689.18022
34.9000715,666.13978,42.55464904,718.53084
31.32042395,666.13978,38.9000715,718.53084
31.32042395,694.50916,38.9000715,749.19339
27.81885749,694.50916,35.32042395,749.19339
27.81885749,724.14661,35.32042395,781.23906
24.39845447,724.14661,31.81885749,781.23906
24.39845447,755.12094,31.81885749,814.77972
21.0622258,755.12094,28.39845447,814.77972
21.0622258,787.54028,28.39845447,849.91707
17.81310829,787.54028,25.0622258,849.91707
17.81310829,821.50293,25.0622258,886.77315
14.65396209,821.50293,21.81310829,886.77315
14.65396209,857.12685,21.81310829,925.47
11.58756812,857.12685,18.65396209,925.47
11.58756812,894.53,18.65396209,966.15
8.616625663,894.53,15.58756812,966.15
8.616625663,933.85,15.58756812,1008.97587
5.743749985,933.85,12.61662566,1008.97587
5.743749985,975.24413,12.61662566,1008.97587
2.971470019,975.24413,9.743749985,1008.97587
2.971470019,975.24413,9.743749985,1008.97587
0.302226146,975.24413,6.971470019,1008.97587
0.302226146,975.24413,6.971470019,1008.97587
