Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
8.16,975.24,8.16,1008.98
0.33,975.24,8.16,1008.98
0.33,975.24,8.16,1008.98
4.16,975.24,12.08,1008.98
4.16,975.24,12.08,1008.98
8.08,975.24,16.10,1008.98
8.08,933.85,16.10,1008.98
12.10,933.85,20.22,1008.98
12.10,894.53,20.22,966.15
16.22,894.53,24.43,966.15
16.22,857.13,24.43,925.47
20.43,857.13,28.72,925.47
20.43,821.50,28.72,886.77
24.72,821.50,33.10,886.77
24.72,787.54,33.10,849.92
29.10,787.54,37.55,849.92
29.10,755.12,37.55,814.78
33.55,755.12,42.09,814.78
33.55,724.15,42.09,781.24
38.09,724.15,46.69,781.24
38.09,694.51,46.69,749.19
42.69,694.51,51.36,749.19
42.69,666.14,51.36,718.53
47.36,666.14,56.09,718.53
47.36,638.95,56.09,689.18
52.09,638.95,60.88,689.18
52.09,612.87,60.88,661.05
56.88,612.87,65.73,661.05
56.88,587.83,65.73,634.07
61.73,587.83,70.62,634.07
61.73,563.78,70.62,608.17
66.62,563.78,75.57,608.17
66.62,540.65,75.57,583.28
71.57,540.65,80.55,583.28
71.57,518.39,80.55,559.35
76.55,518.39,85.57,559.35
76.55,496.97,85.57,536.33
81.57,496.97,90.63,536.33
81.57,476.31,90.63,514.15
86.63,476.31,95.71,514.15
86.63,456.40,95.71,492.79
91.71,456.40,100.81,492.79
91.71,437.18,100.81,472.18
96.81,437.18,105.94,472.18
96.81,418.62,105.94,452.30
101.94,418.62,111.08,452.30
101.94,400.70,111.08,433.10
107.08,400.70,116.23,433.10
107.08,383.37,116.23,414.56
112.23,383.37,121.39,414.56
112.23,366.61,121.39,396.63
117.39,366.61,126.55,396.63
117.39,350.39,126.55,379.29
122.55,350.39,131.71,379.29
122.55,334.69,131.71,362.51
127.71,334.69,136.85,362.51
127.71,319.48,136.85,346.27
132.85,319.48,141.99,346.27
132.85,304.73,141.99,330.53
137.99,304.73,147.11,330.53
137.99,290.43,147.11,315.27
143.11,290.43,152.21,315.27
143.11,276.56,152.21,300.47
148.21,276.56,157.28,300.47
148.21,263.10,157.28,286.12
153.28,263.10,162.32,286.12
153.28,250.03,162.32,272.20
158.32,250.03,167.33,272.20
158.32,237.33,167.33,258.67
163.33,237.33,172.29,258.67
163.33,224.98,172.29,245.53
168.29,224.98,177.22,245.53
168.29,212.99,177.22,232.76
173.22,212.99,182.10,232.76
173.22,201.31,182.10,220.35
178.10,201.31,186.92,220.35
178.10,189.95,186.92,208.27
182.92,189.95,191.69,208.27
182.92,178.91,191.69,196.53
187.69,178.91,196.40,196.53
187.69,168.14,196.40,185.09
192.40,168.14,201.04,185.09
192.40,157.66,201.04,173.96
197.04,157.66,205.61,173.96
197.04,147.45,205.61,163.12
201.61,147.45,210.12,163.12
201.61,137.49,210.12,152.55
206.12,137.49,214.54,152.55
206.12,127.79,214.54,142.25
210.54,127.79,218.88,142.25
210.54,118.32,218.88,132.21
214.88,118.32,223.14,132.21
214.88,109.09,223.14,122.42
219.14,109.09,227.32,122.42
219.14,100.08,227.32,112.87
223.32,100.08,231.40,112.87
223.32,91.28,231.40,103.54
227.40,91.28,235.38,103.54
227.40,74.30,235.38,94.44
231.38,74.30,239.26,94.44
231.38,74.30,239.26,94.44
235.26,74.30,243.05,94.44
