Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
16.15507226,975.24413,16.15507226,1008.97587
8.330891728,975.24413,16.15507226,1008.97587
8.330891728,975.24413,16.15507226,1008.97587
12.15507226,975.24413,20.08029471,1008.97587
12.15507226,975.24413,20.08029471,1008.97587
16.08029471,975.24413,24.10310381,1008.97587
16.08029471,933.85,24.10310381,1008.97587
20.10310381,933.85,28.21995835,1008.97587
20.10310381,894.53,28.21995835,966.15
24.21995835,894.53,32.42723435,966.15
24.21995835,857.12685,32.42723435,925.47
28.42723435,857.12685,36.72122823,925.47
28.42723435,821.50293,36.72122823,886.77315
32.72122823,821.50293,41.09816007,886.77315
32.72122823,787.54028,41.09816007,849.91707
37.09816007,787.54028,45.55417695,849.91707
37.09816007,755.12094,45.55417695,814.77972
41.55417695,755.12094,50.08535632,814.77972
41.55417695,724.14661,50.08535632,781.23906
46.08535632,724.14661,54.68770948,781.23906
46.08535632,694.50916,54.68770948,749.19339
50.68770948,694.50916,59.35718508,749.19339
50.68770948,666.13978,59.35718508,718.53084
55.35718508,666.13978,64.08967266,718.53084
55.35718508,638.95,64.08967266,689.18022
60.08967266,638.95,68.88100632,689.18022
60.08967266,612.87101,68.88100632,661.05
64.88100632,612.87101,73.72696834,661.05
64.88100632,587.834,73.72696834,634.06899
69.72696834,587.834,78.62329292,634.06899
69.72696834,563.77999,78.62329292,608.166
74.62329292,563.77999,83.56566992,608.166
74.62329292,540.65,83.56566992,583.28001
79.56566992,540.65,88.54974866,583.28001
79.56566992,518.39488,88.54974866,559.35
84.54974866,518.39488,93.57114178,559.35
84.54974866,496.96548,93.57114178,536.32512
89.57114178,496.96548,98.62542902,536.32512
89.57114178,476.31265,98.62542902,514.15452
94.62542902,476.31265,103.7081612,514.15452
94.62542902,456.39707,103.7081612,492.78735
99.70816121,456.39707,108.8148641,492.78735
99.70816121,437.17942,108.8148641,472.18293
104.8148641,437.17942,113.9410424,472.18293
104.8148641,418.62038,113.9410424,452.30058
109.9410424,418.62038,119.0821837,452.30058
109.9410424,400.70029,119.0821837,433.09962
115.0821837,400.70029,124.2337622,433.09962
115.0821837,383.37,124.2337622,414.55971
120.2337622,383.37,129.3912431,414.55971
120.2337622,366.60985,129.3912431,396.63
125.3912431,366.60985,134.5500865,396.63
125.3912431,350.39035,134.5500865,379.29015
130.5500865,350.39035,139.7057511,379.29015
130.5500865,334.69184,139.7057511,362.50965
135.7057511,334.69184,144.8536985,362.50965
135.7057511,319.475,144.8536985,346.26816
140.8536985,319.475,149.9893969,346.26816
140.8536985,304.73,149.9893969,330.525
145.9893969,304.73,155.1083257,330.525
145.9893969,290.42735,155.1083257,315.27
151.1083257,290.42735,160.2059787,315.27
151.1083257,276.55722,160.2059787,300.47265
156.2059787,276.55722,165.2778685,300.47265
156.2059787,263.09995,165.2778685,286.12278
161.2778685,263.09995,170.3195305,286.12278
161.2778685,250.02605,170.3195305,272.20005
166.3195305,250.02605,175.3265265,272.20005
166.3195305,237.32569,175.3265265,258.67395
171.3265265,237.32569,180.2944491,258.67395
171.3265265,224.97921,180.2944491,245.53431
176.2944491,224.97921,185.218925,245.53431
176.2944491,212.98661,185.218925,232.76079
181.218925,212.98661,190.0956194,232.76079
181.218925,201.30857,190.0956194,220.35339
186.0956194,201.30857,194.9202393,220.35339
186.0956194,189.95492,194.9202393,208.27143
190.9202393,189.95492,199.6885379,208.27143
190.9202393,178.906,199.6885379,196.52508
195.6885379,178.906,204.3963175,196.52508
195.6885379,168.14215,204.3963175,185.094
200.3963175,168.14215,209.0394342,185.094
200.3963175,157.66337,209.0394342,173.95785
205.0394342,157.66337,213.6138006,173.95785
205.0394342,147.45,213.6138006,163.11663
209.6138006,147.45,218.11539,163.11663
209.6138006,137.49221,218.11539,152.55
214.11539,137.49221,222.5402397,152.55
214.11539,127.79,222.5402397,142.24779
218.5402397,127.79,226.8844547,142.24779
218.5402397,118.32371,226.8844547,132.21
222.8844547,118.32371,231.1442108,132.21
222.8844547,109.09334,231.1442108,122.41629
227.1442108,109.09334,235.3157583,122.41629
227.1442108,100.07923,235.3157583,112.86666
231.3157583,100.07923,239.3954249,112.86666
231.3157583,91.28138,239.3954249,103.54077
235.3954249,91.28138,243.3796196,103.54077
235.3954249,74.29514,243.3796196,94.43862
239.3796196,74.29514,247.264835,94.43862
239.3796196,74.29514,247.264835,94.43862
243.264835,74.29514,251.0476511,94.43862
