Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
223.9372606,50.25096,223.9372606,51.98904
216.4291465,50.25096,223.9372606,51.98904
216.4291465,50.25096,223.9372606,60.09453
212.8432083,50.25096,220.4291465,60.09453
212.8432083,58.08547,220.4291465,68.38308
209.1826025,58.08547,216.8432083,68.38308
209.1826025,66.09692,216.8432083,76.86486
205.4505516,66.09692,213.1826025,76.86486
205.4505516,74.29514,213.1826025,85.55004
201.6503408,74.29514,209.4505516,85.55004
201.6503408,82.68996,209.4505516,94.43862
197.7853154,82.68996,205.6503408,94.43862
197.7853154,91.28138,205.6503408,103.54077
193.8588775,91.28138,201.7853154,103.54077
193.8588775,100.07923,201.7853154,112.86666
189.8744837,100.07923,197.8588775,112.86666
189.8744837,109.09334,197.8588775,122.41629
185.8356413,109.09334,193.8744837,122.41629
185.8356413,118.32371,193.8744837,132.21
181.7459056,118.32371,189.8356413,132.21
181.7459056,127.79,189.8356413,142.24779
177.6088767,127.79,185.7459056,142.24779
177.6088767,137.49221,185.7459056,152.55
173.4281963,137.49221,181.6088767,152.55
173.4281963,147.45,181.6088767,163.11663
169.2075447,147.45,177.4281963,163.11663
169.2075447,157.66337,177.4281963,173.95785
164.9506372,157.66337,173.2075447,173.95785
164.9506372,168.14215,173.2075447,185.094
160.661221,168.14215,168.9506372,185.094
160.661221,178.906,168.9506372,196.52508
156.343072,178.906,164.661221,196.52508
156.343072,189.95492,164.661221,208.27143
151.9999915,189.95492,160.343072,208.27143
151.9999915,201.30857,160.343072,220.35339
147.6358025,201.30857,155.9999915,220.35339
147.6358025,212.98661,155.9999915,232.76079
143.2543467,212.98661,151.6358025,232.76079
143.2543467,224.97921,151.6358025,245.53431
138.8594811,224.97921,147.2543467,245.53431
138.8594811,237.32569,147.2543467,258.67395
134.4550744,237.32569,142.8594811,258.67395
134.4550744,250.02605,142.8594811,272.20005
130.0450036,250.02605,138.4550744,272.20005
130.0450036,263.09995,138.4550744,286.12278
125.6331509,263.09995,134.0450036,286.12278
125.6331509,276.55722,134.0450036,300.47265
121.2234,276.55722,129.6331509,300.47265
121.2234,290.42735,129.6331509,315.27
116.8196326,290.42735,125.2234,315.27
116.8196326,304.73,125.2234,330.525
112.4257253,304.73,120.8196326,330.525
112.4257253,319.475,120.8196326,346.26816
108.045546,319.475,116.4257253,346.26816
108.045546,334.69184,116.4257253,362.50965
103.6829504,334.69184,112.045546,362.50965
103.6829504,350.39035,112.045546,379.29015
99.34177883,350.39035,107.6829504,379.29015
99.34177883,366.60985,107.6829504,396.63
95.0258528,366.60985,103.3417788,396.63
95.0258528,383.37,103.3417788,414.55971
90.73897148,383.37,99.0258528,414.55971
90.73897148,400.70029,99.0258528,433.09962
86.48490854,400.70029,94.73897148,433.09962
86.48490854,418.62038,94.73897148,452.30058
82.26740875,418.62038,90.48490854,452.30058
82.26740875,437.17942,90.48490854,472.18293
78.09018467,437.17942,86.26740875,472.18293
78.09018467,456.39707,86.26740875,492.78735
73.95691345,456.39707,82.09018467,492.78735
73.95691345,476.31265,82.09018467,514.15452
69.8712335,476.31265,77.95691345,514.15452
69.8712335,496.96548,77.95691345,536.32512
65.83674138,496.96548,73.8712335,536.32512
65.83674138,518.39488,73.8712335,559.35
61.85698856,518.39488,69.83674138,559.35
61.85698856,540.65,69.83674138,583.28001
57.93547835,540.65,65.85698856,583.28001
57.93547835,563.77999,65.85698856,608.166
54.07566276,563.77999,61.93547835,608.166
54.07566276,587.834,61.93547835,634.06899
50.28093952,587.834,58.07566276,634.06899
50.28093952,612.87101,58.07566276,661.05
46.55464904,612.87101,54.28093952,661.05
46.55464904,638.95,54.28093952,689.18022
42.9000715,638.95,50.55464904,689.18022
42.9000715,666.13978,50.55464904,718.53084
39.32042395,666.13978,46.9000715,718.53084
39.32042395,694.50916,46.9000715,749.19339
35.81885749,694.50916,43.32042395,749.19339
35.81885749,724.14661,43.32042395,781.23906
32.39845447,724.14661,39.81885749,781.23906
32.39845447,755.12094,39.81885749,814.77972
29.0622258,755.12094,36.39845447,814.77972
29.0622258,787.54028,36.39845447,849.91707
25.81310829,787.54028,33.0622258,849.91707
25.81310829,821.50293,33.0622258,886.77315
22.65396209,821.50293,29.81310829,886.77315
22.65396209,857.12685,29.81310829,925.47
19.58756812,857.12685,26.65396209,925.47
19.58756812,894.53,26.65396209,966.15
16.61662566,894.53,23.58756812,966.15
16.61662566,933.85,23.58756812,1008.97587
13.74374998,933.85,20.61662566,1008.97587
13.74374998,975.24413,20.61662566,1008.97587
10.97147002,975.24413,17.74374998,1008.97587
10.97147002,975.24413,17.74374998,1008.97587
8.302226146,975.24413,14.97147002,1008.97587
8.302226146,975.24413,14.97147002,1008.97587
