Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
203.8472606,50.25096,203.8472606,51.98904
196.3391465,50.25096,203.8472606,51.98904
196.3391465,50.25096,203.8472606,60.09453
192.7532083,50.25096,200.3391465,60.09453
192.7532083,58.08547,200.3391465,68.38308
189.0926025,58.08547,196.7532083,68.38308
189.0926025,66.09692,196.7532083,76.86486
185.3605516,66.09692,193.0926025,76.86486
185.3605516,74.29514,193.0926025,85.55004
181.5603408,74.29514,189.3605516,85.55004
181.5603408,82.68996,189.3605516,94.43862
177.6953154,82.68996,185.5603408,94.43862
177.6953154,91.28138,185.5603408,103.54077
173.7688775,91.28138,181.6953154,103.54077
173.7688775,100.07923,181.6953154,112.86666
169.7844837,100.07923,177.7688775,112.86666
169.7844837,109.09334,177.7688775,122.41629
165.7456413,109.09334,173.7844837,122.41629
165.7456413,118.32371,173.7844837,132.21
161.6559056,118.32371,169.7456413,132.21
161.6559056,127.79,169.7456413,142.24779
157.5188767,127.79,165.6559056,142.24779
157.5188767,137.49221,165.6559056,152.55
153.3381963,137.49221,161.5188767,152.55
153.3381963,147.45,161.5188767,163.11663
149.1175447,147.45,157.3381963,163.11663
149.1175447,157.66337,157.3381963,173.95785
144.8606372,157.66337,153.1175447,173.95785
144.8606372,168.14215,153.1175447,185.094
140.571221,168.14215,148.8606372,185.094
140.571221,178.906,148.8606372,196.52508
136.253072,178.906,144.571221,196.52508
136.253072,189.95492,144.571221,208.27143
131.9099915,189.95492,140.253072,208.27143
131.9099915,201.30857,140.253072,220.35339
127.5458025,201.30857,135.9099915,220.35339
127.5458025,212.98661,135.9099915,232.76079
123.1643467,212.98661,131.5458025,232.76079
123.1643467,224.97921,131.5458025,245.53431
118.7694811,224.97921,127.1643467,245.53431
118.7694811,237.32569,127.1643467,258.67395
114.3650744,237.32569,122.7694811,258.67395
114.3650744,250.02605,122.7694811,272.20005
109.9550036,250.02605,118.3650744,272.20005
109.9550036,263.09995,118.3650744,286.12278
105.5431509,263.09995,113.9550036,286.12278
105.5431509,276.55722,113.9550036,300.47265
101.1334,276.55722,109.5431509,300.47265
101.1334,290.42735,109.5431509,315.27
96.72963259,290.42735,105.1334,315.27
96.72963259,304.73,105.1334,330.525
92.33572529,304.73,100.7296326,330.525
92.33572529,319.475,100.7296326,346.26816
87.95554595,319.475,96.33572529,346.26816
87.95554595,334.69184,96.33572529,362.50965
83.59295037,334.69184,91.95554595,362.50965
83.59295037,350.39035,91.95554595,379.29015
79.25177883,350.39035,87.59295037,379.29015
79.25177883,366.60985,87.59295037,396.63
74.9358528,366.60985,83.25177883,396.63
74.9358528,383.37,83.25177883,414.55971
70.64897148,383.37,78.9358528,414.55971
70.64897148,400.70029,78.9358528,433.09962
66.39490854,400.70029,74.64897148,433.09962
66.39490854,418.62038,74.64897148,452.30058
62.17740875,418.62038,70.39490854,452.30058
62.17740875,437.17942,70.39490854,472.18293
58.00018467,437.17942,66.17740875,472.18293
58.00018467,456.39707,66.17740875,492.78735
53.86691345,456.39707,62.00018467,492.78735
53.86691345,476.31265,62.00018467,514.15452
49.7812335,476.31265,57.86691345,514.15452
49.7812335,496.96548,57.86691345,536.32512
45.74674138,496.96548,53.7812335,536.32512
45.74674138,518.39488,53.7812335,559.35
41.76698856,518.39488,49.74674138,559.35
41.76698856,540.65,49.74674138,583.28001
37.84547835,540.65,45.76698856,583.28001
37.84547835,563.77999,45.76698856,608.166
33.98566276,563.77999,41.84547835,608.166
33.98566276,587.834,41.84547835,634.06899
30.19093952,587.834,37.98566276,634.06899
30.19093952,612.87101,37.98566276,661.05
26.46464904,612.87101,34.19093952,661.05
26.46464904,638.95,34.19093952,689.18022
22.8100715,638.95,30.46464904,689.18022
22.8100715,666.13978,30.46464904,718.53084
19.23042395,666.13978,26.8100715,718.53084
19.23042395,694.50916,26.8100715,749.19339
15.72885749,694.50916,23.23042395,749.19339
15.72885749,724.14661,23.23042395,781.23906
12.30845447,724.14661,19.72885749,781.23906
12.30845447,755.12094,19.72885749,814.77972
8.972225795,755.12094,16.30845447,814.77972
8.972225795,787.54028,16.30845447,849.91707
5.723108292,787.54028,12.9722258,849.91707
5.723108292,821.50293,12.9722258,886.77315
2.563962089,821.50293,9.723108292,886.77315
2.563962089,857.12685,9.723108292,925.47
-0.502431883,857.12685,6.563962089,925.47
-0.502431883,894.53,6.563962089,966.15
-3.473374337,894.53,3.497568117,966.15
-3.473374337,933.85,3.497568117,1008.97587
-6.346250015,933.85,0.526625663,1008.97587
-6.346250015,975.24413,0.526625663,1008.97587
-9.118529981,975.24413,-2.346250015,1008.97587
-9.118529981,975.24413,-2.346250015,1008.97587
-11.78777385,975.24413,-5.118529981,1008.97587
-11.78777385,975.24413,-5.118529981,1008.97587
